utt,labels,tokenized
sweetheart logging back in,0,[0]
 yeah I just like starting at the left side Maybe,0,[0]
 yeah hmm yes I guess have transporter was to go ahead and scout out but rooms have people in it that I can die on you if engineer wants to go and figure out which room is have Rubble in it and I'll just kind of follow along and do whatever room cure whatever room for whatever as I can,"Transporter/Room/Rubble/Plan{topic:{follow along and do}, agent:{I}}/Room/Room","[5, 3, 7, 20, 3, 3]"
 and I'll label all the people or whatever that B2 B Prince hoarded,"Plan{topic:{label all the people}, agent:{I}}/Room","[20, 3]"
 yeah engineer will just suggest and then once we know what rooms have like threats in them or whatever we'll all like go to it so then I can cure the people and then we can get them out and then the engineer can make sure that the stuff can be clear door whatever,"Engineer/Precedence{first:{will just suggest}, second:{once we know}}/Room/Precedence{first:{we'll all like go to it}, second:{I can cure}}/Triage{agent:{I}, target:{the people}}/Engineer","[4, 11, 4]"
 so okay we're Salon left side right yeah,0,[0]
 okay,0,[0]
 okay,0,[0]
 can you transport that at C,"YesNoQuestion{topic:{transport that}, location:{C}}",[18]
 all right um so I guess this is medic F3 as for if you want to get that last person in A1 and then engineer all come down to,"Medic/Room/Room/Engineer/Triage{agent:{you}, target:{last person}, location:{A1}}/Victim","[6, 3, 3, 4, 12, 2]"
 I'll try this one first,"Plan{topic:{try this one}, agent:{I}}/Precedence:{first:{try this one}}",[20]
 and then this one,Precedence{second:{this one}},[11]
 okay,0,[0]
 right,0,[0]
 yeah,0,[0]
 right I yeah go yeah if you want to try,"Instruction{agent:{you}, topic:{go}}",[19]
 okay I will get there as quick as I can,"Plan{topic:{will get there}, agent:{I}}",[20]
 okay,0,[0]
this is back door die come to the room Green in there I don't even go there a c C2 this room has a critical,Room/Room/Room/CriticalVictim,"[3, 3, 3, 1]"
 pass is wrong room open I'm sorry,Room,[3]
 yeah you broke this,0,[0]
 and then,Precedence{second:{then}},[11]
 die when I think I'd no one in there,"Instruction{topic:die}/KnowledgeSharing{exists:{no one}, location:{in there}}",[19]
 okay everybody out of there correct,"KnowledgeSharing{exists:{everybody}, location:{out of there}}",[13]
 just B tool it has two people and I can't C though it's covered up by the okay and it has the hazard okay,Victim,[2]
 I can't really put a marker down because it's not a space type Ace the farthest away so if transport if you want to take that one,"MarkerBlock/Victim/Movement{agent:{you}, target:{that one}}","[8, 2, 10]"
 I was right and C that there's a stone a closer to that,"KnowledgeSharing{exists:{a stone}, location:{closer to that}}",[13]
 yeah I'm just going to go to the North Sea,"Plan{topic:{going to go to the North Sea}, agent:{I}}",[20]
 okay both c yeah both seas are covered,0,[0]
 yeah don't go Scout ahead I need to drop off this victim and then this is the medic engineer can you broke in through this gravel or here thank you,"Instruction/Triage{agent:{I}, target:{this victim}}/Medic/Engineer/YesNoQuestion{topic:{broke in through this gravel}}","[19, 12]"
 so all right C E5 and D2 just go check out D2 really good,Room/Room/Instruction/Room,"[3, 3, 19, 3]"
 B and type A,Victim/Victim,"[2, 2]"
 I registered a critical position is are you by E3,Room,[3]
 and then do we need any clear any Rubble or roast E3 okay,Rubble/Room,"[7, 3]"
 C,0,[0]
 and I C oh,0,[0]
 engineer can you help me broke through this C Zone the north won,"Engineer/HelpRequest{agent:{me}, target:{me}, helper:{you}}/YesNoQuestion{topic:{help me broke through}}, location:{C Zone}}","[4, 16]"
 mmm because it looks like a lot of these are pretty close,"Engineer/HelpRequest{agent:{me}, target:{me}, helper:{you}}/YesNoQuestion{topic:{help me broke through}, location:{C Zone}}","[4, 16]"
 this is the medic transporter where are you,Medic/Transporter/Question{topic:you},"[6, 5, 17]"
 and here it looks like you're in one of the hazard ones or whatever,Room,[3]
 enter normal ones have type B so,Instruction,[19]
 okay okay yeah I'm going to take the B and then transport it to you want to scout out somewhere,"Plan{topic:{take the B}, agent:{I}}/Triage{agent:{I}, target:{it}, location:{to you}}",[20]
 I think he is engineer I need you in L1,"Engineer/HelpRequest{agent:{I}, location:{L1}, helper:{you}}","[4, 16]"
 this is a type B,Victim,[2]
 okay,0,[0]
 transport you to want to come because there's a critical condition one you might want to pick up an a normal,"Instruction/Plan{topic:{pick up an normal}, agent:{you}}/Victim","[19, 20, 2]"
 I'll take this type A,"Plan{topic:{take this type A}, agent:{I}}/Victim","[20, 2]"
 enter,Instruction,[19]
 I'm gonna die this last one engineer I need your help and this and K4,"Engineer/HelpRequest{agent:{I}, location:{this and K4}, helper:{engineer}}","[4, 16]"
 okay that's on the type A,Victim,[2]
 I was like 3 seconds away oh I died,0,[0]
systematic I'm back,0,[0]
Amicus,0,[0]
 mhm,0,[0]
 yeah always so I think this is the medic I think like it's saying like where the meetings are so I think that's probably where like people are more likely going to be so we probably would have prioritized checking those first,Medic/Meeting/Victim,"[6, 9, 2]"
 let's see I guess if you want our planet like a path it might be best to like start,0,[0]
 yeah like I said B1,Room,[3]
 D4 C gets is because there's a meeting and D4 start with D4 then go over to is F4 in the same area,Room,[3]
 yeah mmm,0,[0]
 all right so we can leave people in dangerous areas outside,Victim,[2]
 all right if you want to carry that outside,"Triage{agent:{you}, target:{that}, location:{outside}}",[12]
 okay and then,0,[0]
 okay this is where there is a,0,[0]
 okay I found two,Victim,[2]
 um,0,[0]
 and then this is the medic transporter I left I left two people in D2,Medic/Transporter/Victim/Room,"[6, 5, 2, 3]"
 and I put a critical in the hallway,CriticalVictim,[1]
 other that sorry that's the one you know it's not okay so we got that b there's two critical Zone here speak out that one but,Victim,[2]
 okay all right yeah we're here so if the Index close,"ReportLocation{agent:{we}, locaton:{here}}",[14]
 in case you want to grab engineer toilet trapped tool I grabbed the critical length in the hallway,Engineer/CriticalVictim,"[4, 1]"
that's a critical I think the critical,CriticalVictim/CriticalVictim,"[1, 1]"
 all right let's go off to the right engineer this is medic,Instruction{topic:{go off}}/Engineer/Medic,"[19, 4, 6]"
 that is down here and,"KnowledgeSharing{exists:{that}, location:{down here}}",[13]
 I am,KnowledgeSharing{exists:{I}},[13]
 set a critical in here engineer button help me get through this,CriticalVictim/Engineer/HelpRequest{agent:{me}},"[1, 4, 16]"
 I'm just going to get it okay,"Plan{topic:{to get it okay}, agent:{I}}/Triage{agent:{I}, target:{it}}",[20]
 homicide,0,[0]
 nothing,0,[0]
 I think they have to destroy I2 care zone of - not,"Instruction{topic:{destroy I2}, agent:{they}}/Room","[19, 3]"
 did you get the ones from J1,"YesNoQuestion{topic:{get the ones}, location:{J1}}/Victim/Room","[18, 2, 3]"
 oh that's weird it's okay,0,[0]
 this one engineer inside of,Engineer,[4]
don't take this critical outside,"Instruction{topic:{take this critical}}/Triage{target:{this critical}, location:{outside}}/CriticalVictim","[19, 1]"
 engineer are you close B I2 I2 A4,"Engineer/YesNoQuestion{topic:{you close}, location:{B}}/Room/Room/Room","[4, 18, 3, 3, 3]"
 leave lots of others a couple in the hallway or try this is medic transport transport Tater take okay,Instruction{topic:{leave lots of others}}/Instruction{topic:{try}}/Medic/Transporter,"[19, 6, 5]"
 yes it has GPS signal loss I think that's part of the thing okay I'm inside A1 it looks like there was nothing all right there is two in sight gear engineer if you want to help me grab one of them,"ReportLocation{agent:{I}, location:{inside A1}}/KnowledgeSharing{exists:{nothing}}/KnowledgeSharing{exists:{two}, location:{in sight gear}/Engineer/HelpRequest{agent:{me}, helper:{you}}/Victim","[14, 2]"
 all right engineer the one you're grabbing is a Type A,Engineer/Victim/Victim,"[4, 2, 2]"
 so we'll be leaving just the unlabeled ones outside all the doors okay all right that's a critical medic button here,"Plan{topic:{be leaving}, agent:{we}}/CriticalVictim/Medic","[20, 1, 6]"
 yeah this is medic engineer you want to take that's critical outside,"Medic/Engineer/Triage{agent:{you}, target{that's critical}, location:{outside}}","[6, 4, 12]"
 type a text to it okay enter your D1 on,Victim/Instruction{topic:{enter}}/Room,"[2, 19, 3]"
 type B and put it outside,Victim/Instruction{topic:{put it outside}},"[2, 19]"
 nothing,0,[0]
I think all right this is my like engineer I'm going into C6 all right there's a critical in here adorable,"Engineer/Plan{topic:{going into}, agent:{I}}/Room/KnowledgeSharing{exists:{a critical}, location:{in here}}/CriticalVictim","[4, 20, 1]"
 open an SOS where I am,Instruction{topic:{open an SOS}},[19]
 I need someone close by,"HelpRequest{agent:{I}, location:{close by}, helper:{someone}}",[16]
 a type A outside but you know I'll take the typefaces fox it's right here,"Victim/KnowledgeSharing{exists:{type A}, location:{outside}}/Plan{topic:{take the typefaces}, agent:{I}}/KnowledgeSharing{exists:{it}, location:{right here}}","[2, 13]"
 C okay there's a critical I'm going to C2 medic,CriticalVictim/KnowledgeSharing{exists:{a critical}}/Movement{agent:{I}}/Room/Medic,"[1, 13, 3, 6]"
 we're happy not checked,0,[0]
 I don't know I don't think it'll get you to come over to B6 into New York's going to break these two blocks as medic,Room/MarkerBlock/Medic,"[3, 8, 6]"
 all right transporter take that,"Transporter/Instruction{topic:{take that}, agent:{transporter}}","[5, 19]"
 and then yeah okay this is medic and clear if you want to help probably hand off here person too,"Precedence{second:{then}}/Medic/HelpRequest{location:{here}, helper:{you}}",[11]
 red para time yeah,0,[0]
 I think during that the first half we were still like working on that new strategy but by the second half of sorry going like super quickly,0,[0]
rejoining the server for an hour,0,[0]
 I C,0,[0]
Block C,0,[0]
okay guys this is transporter just for our planning critical victims are probably going to be in the dangerous rooms so we're going to want to do those make sure that the we have the engineer with you when you're going in there,"Transporter/CriticalVictim/Plan{topic:{want to do}, agent:{we}}/Engineer","[5, 1, 20, 4]"
yes,0,[0]
this is engineer so this would be a rooms are going to be i4a E5 and C4 there's nine in total but those are the really severe ones and I'll go through and just mark them starting with the most severe first,"Engineer/Room/Room/Room/Room/KnowledgeSharing{exists:{nine}}/Plan{topic:{go through and just mark them}, agent:{I}}/MarkerBlock","[4, 3, 3, 3, 3, 13, 8]"
okay,0,[0]
 and then medic what was your information,Medic/Question{topic:{your information}},"[6, 17]"
 okay,0,[0]
I just have that critical victims are most likely to be in areas with the most severe damage so I will be putting down markers and calling out if I need someone to come help me save people,"CriticalVictim/KnowledgeSharing{exists:{critical victims}, location:{in areas}}/Plan{topic:{putting down markers}, agent:{I}}/MarkerBlock","[1, 13, 8]"
 I also had a list of attendees for different like schedule so like I have like a management meeting and a lunch and a project meeting but I don't have any idea where those are,Meeting/Meeting,"[9, 9]"
I have those and room numbers so I have like A2 is human resources B9 is zoom2 from Office E4 security training and then,Room/Room/Room,"[3, 3, 3]"
 this is medic sorry,Medic,[6]
 is this is this engineer or is this medic okay in that case I do have a list so storage reorganization and then the zoom meetings and zoom meeting from Office are all canceled,Engineer/Medic/Meeting/Meeting,"[4, 6, 9, 9]"
 I don't know if you're seeing that,0,[0]
 okay so that's E5 B9 and I2 are going to not have people then most likely,Room/Room/Room,"[3, 3, 3]"
 it might be,0,[0]
 okay this is good to be a bit of a clusterfuck holy shit um I guess here's we could start on this um so the management meeting where the management meeting the lunch in the project meeting which one of those is the closest to our start,Meeting/Meeting/Meeting/Question{topic:{one of those}},"[9, 9, 9, 17]"
 M3 i4a and management project and most last when you said,Room/Room,"[3, 3]"
 it's going to be management meeting project meeting and lunch,Meeting/Meeting,"[9, 9]"
 lunch so that's,0,[0]
M3 has danger by the way Rubble,Room/Rubble,"[3, 7]"
 M3 i4a and D2,Room/Room,"[3, 3]"
 yeah,0,[0]
 okay if we want to start on i4a just to get some people moving,Room,[3]
 yeah i4a is the most severe I'll head over there with you guys,"Room/Plan{topic:{head over}, agent:{I}}","[3, 20]"
 okay,0,[0]
 all right sounds good,0,[0]
 and then I'll just start working down this hallway when you guys start going through it yeah because there's loads of victims in here and then I'll work down here and then we can do as we go,"Plan{topic:{start working down}, agent:{I}, condition:{when you guys}}/KnowledgeSharing{exists:{loads of victims}, location:{in here}}/Victim/Plan{topic: work down}, agent:{I}}/Precedence{first:{start working down}, second:{work down}}/Precedence{second:{then}}",[20]
 i4a has Rubble we're going to need to wait for engineer,"Room/Rubble/Plan{topic:{need to wait for engineer}, agent:{we}}/Engineer","[3, 7, 20, 4]"
 so slow it's awesome,0,[0]
 all right buddy,0,[0]
 engineer can you come further in,Engineer/YesNoQuestion{topic:{you come further in}},"[4, 18]"
 transporter I have critical victims if you could come take them come a little closer,"Transporter/CriticalVictim/Instruction{topic:{come a little closer}}/Triage{agent:{you}, target:{them}}","[5, 1, 19]"
 perfect,0,[0]
 all the ones in this room are getting critical,CriticalVictim/Room,"[1, 3]"
 sweet,0,[0]
 yeah yeah,0,[0]
 I'm going to move them out right in front of the room again all the ones I'm placing here,"Plan{topic:{move them out}, agent:{I}}/Victim/Room/Victim","[20, 2, 3, 2]"
 as long as they're out in front of the room will be able to take care of them,Victim/Triage{target:{them}}/Victim,"[2, 12, 2]"
 I'm going to clear out I2 because that also has Rubble,"Plan{topic:{clear out I2}, agent:{I}}/Room/Rubble","[20, 3, 7]"
 okay I'm going to go on that um,"Plan{topic:{go on that}, agent:{I}}",[20]
the far right side I'm going to go down that hallway and mark the green rooms so the caves,"Plan{topic:{go down that hallway}, agent:{I}}/MarkerBlock/Room","[20, 8, 3]"
I have a critical in j4 if someone could help me I am trapped in j4,"CriticalVictim/Room/HelpRequest{agent:{me}, location:{j4}, helper:{someone}/Room/ReportLocation{agent:{I}, location:{j4}}","[1, 3, 16]"
Kai,0,[0]
 do you want to put that one of those markers so that he knows for sure on the map,YesNoQuestion{topic:{want to put that}}/MarkerBlock,"[18, 8]"
 I don't know how he yeah,0,[0]
 yes,0,[0]
 the rocks in my shoes,0,[0]
 right here you walk past,0,[0]
 try this out lag,Instruction{topic:{try this out lag}},[19]
 okay this is B we don't have a marker for C,MarkerBlock,[8]
 as long as if you just set them out there and don't have a marker on them I can go ahead and just assume the critical,"Instruction{topic:{have a marker on them}}/MarkerBlock/Plan{topic:{can go ahead}, agent:{I}}/CriticalVictim","[19, 1]"
 okay,0,[0]
 all right,0,[0]
 okay I am setting a b up against the wall with the marker just because you are faster,"Plan{topic:{setting a b up}, agent:{I}}",[20]
 unlucky,0,[0]
 can you replace the marker at the end of that hallway there's one for a critical victim but I believe double-check the room but I believe I got that,YesNoQuestion{topic:{you replace the marker}}/MarkerBlock/KnowledgeSharing{exists:{one}},[18]
 it's going to be the storage L here,"KnowledgeSharing{exists:{the storage L}, location:{here}}",[13]
 okay,0,[0]
 all right L1 just got clear down there's one guy I'm leaving the markers up from us,"Room/KnowledgeSharing{exists:{one guy}}/Plan{topic:{leaving the markers}, agent:{I}}/MarkerBlock","[3, 13, 8]"
 C,0,[0]
