utt,extractions
sweetheart logging back in,[]
yep that's the back at work this time,[]
yeah I just like starting at the left side Maybe,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'attachments': [], 'end_offset': 38, 'labels': ['Left', 'Relative', 'Direction', 'Concept'], 'rule': 'left_direction', 'span': 'left', 'start_offset': 34}]"
yeah I bet it probably got B probably just telling you know or eggs yeah I'm the medic on it would probably be best to do it in some kind of predetermined way so we all know,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'attachments': [], 'end_offset': 73, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 69}, {'attachments': [], 'end_offset': 87, 'labels': ['Medic', 'Role', 'Entity', 'Concept'], 'rule': 'medic_strict_token', 'span': 'medic', 'start_offset': 82}, {'arguments': {'target': [{'attachments': [], 'end_offset': 87, 'labels': ['Medic', 'Role', 'Entity', 'Concept'], 'rule': 'medic_strict_token', 'span': 'medic', 'start_offset': 82}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [15], 'text': 'I'}], 'end_offset': 87, 'labels': ['RoleDeclare', 'ReportStatus', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'role_declare', 'span': 'am the medic', 'start_offset': 75}]"
yeah hmm yes I guess have transporter was to go ahead and scout out but rooms have people in it that I can die on you if engineer wants to go and figure out which room is have Rubble in it and I'll just kind of follow along and do whatever room cure whatever room for whatever as I can,"[{'attachments': [], 'end_offset': 13, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yes', 'start_offset': 10}, {'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'arguments': {'condition': [{'attachments': [], 'end_offset': 136, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'wants', 'start_offset': 131}], 'solution': [{'attachments': [], 'end_offset': 111, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'die', 'start_offset': 108}]}, 'attachments': [], 'end_offset': 136, 'labels': ['ContingentPlan', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'ConditionalIFGALLUP', 'span': 'die on you if engineer wants', 'start_offset': 108}, {'arguments': {'topic': [{'attachments': [{'value': 'future'}], 'end_offset': 218, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'follow', 'start_offset': 212}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [42], 'text': 'I'}, {'value': 'future'}], 'end_offset': 218, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will just kind of follow', 'start_offset': 195}, {'attachments': [], 'end_offset': 130, 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'rule': 'engineer', 'span': 'engineer', 'start_offset': 122}, {'arguments': {'topic': [{'arguments': {'condition': [{'attachments': [], 'end_offset': 136, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'wants', 'start_offset': 131}], 'solution': [{'attachments': [], 'end_offset': 111, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'die', 'start_offset': 108}]}, 'attachments': [], 'end_offset': 136, 'labels': ['ContingentPlan', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'ConditionalIFGALLUP', 'span': 'die on you if engineer wants', 'start_offset': 108}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [21], 'text': 'I'}], 'end_offset': 136, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can die on you if engineer wants', 'start_offset': 104}, {'attachments': [], 'end_offset': 183, 'labels': ['Rubble', 'Obstacle', 'EventLike', 'Concept'], 'rule': 'rubble_detection', 'span': 'Rubble', 'start_offset': 177}, {'attachments': [], 'end_offset': 38, 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'rule': 'transporter', 'span': 'transporter', 'start_offset': 27}, {'arguments': {'topic': [{'attachments': [{'value': 'past'}], 'end_offset': 42, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'was', 'start_offset': 39}]}, 'attachments': [{'agentType': 'Transporter', 'labels': ['Transporter', 'Role', 'Entity', 'Concept'], 'span': [6], 'text': 'transporter'}], 'end_offset': 42, 'labels': ['YesNoQuestion', 'Question', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'binary_question', 'span': 'have transporter was', 'start_offset': 22}]"
yeah,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}]"
and I'll label all the people or whatever that B2 B Prince hoarded,"[{'attachments': [], 'end_offset': 50, 'labels': ['B2', 'Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_b2', 'span': 'B2', 'start_offset': 48}, {'arguments': {'topic': [{'attachments': [{'value': 'future'}], 'end_offset': 15, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'label', 'start_offset': 10}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [1], 'text': 'I'}, {'value': 'future'}], 'end_offset': 15, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will label', 'start_offset': 6}]"
and then so I guess and then C so,"[{'arguments': {'second': [{'attachments': [], 'end_offset': 20, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'guess', 'start_offset': 15}]}, 'attachments': [], 'end_offset': 20, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'then so I guess', 'start_offset': 5}, {'attachments': [], 'end_offset': 29, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence2', 'span': 'then', 'start_offset': 25}, {'arguments': {'second': [{'arguments': {'first': [{'attachments': [], 'end_offset': 20, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'guess', 'start_offset': 15}]}, 'attachments': [], 'end_offset': 29, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'guess and then', 'start_offset': 15}]}, 'attachments': [], 'end_offset': 29, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'then so I guess and then', 'start_offset': 5}]"
yeah engineer will just suggest and then once we know what rooms have like threats in them or whatever we'll all like go to it so then I can cure the people and then we can get them out and then the engineer can make sure that the stuff can be clear door whatever,"[{'attachments': [], 'end_offset': 5, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agree_token_match', 'span': 'yeah', 'start_offset': 1}, {'arguments': {'topic': [{'arguments': {'first': [{'attachments': [], 'end_offset': 146, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'cure', 'start_offset': 142}], 'second': [{'attachments': [], 'end_offset': 217, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'make', 'start_offset': 213}]}, 'attachments': [], 'end_offset': 217, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'cure the people and then we can get them out and then the engineer can make', 'start_offset': 142}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [28], 'text': 'I'}], 'end_offset': 217, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can cure the people and then we can get them out and then the engineer can make', 'start_offset': 138}, {'arguments': {'target': [{'attachments': [], 'end_offset': 127, 'labels': ['Entity', 'Concept'], 'rule': 'them_token_capture', 'span': 'it', 'start_offset': 125}]}, 'attachments': [], 'end_offset': 127, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_entity_action', 'span': 'go to it', 'start_offset': 119}, {'arguments': {'first': [{'arguments': {'target': [{'attachments': [], 'end_offset': 127, 'labels': ['Entity', 'Concept'], 'rule': 'them_token_capture', 'span': 'it', 'start_offset': 125}]}, 'attachments': [], 'end_offset': 127, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_entity_action', 'span': 'go to it', 'start_offset': 119}], 'second': [{'arguments': {'topic': [{'arguments': {'first': [{'attachments': [], 'end_offset': 146, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'cure', 'start_offset': 142}], 'second': [{'attachments': [], 'end_offset': 217, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'make', 'start_offset': 213}]}, 'attachments': [], 'end_offset': 217, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'cure the people and then we can get them out and then the engineer can make', 'start_offset': 142}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [28], 'text': 'I'}], 'end_offset': 217, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can cure the people and then we can get them out and then the engineer can make', 'start_offset': 138}]}, 'attachments': [], 'end_offset': 217, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'go to it so then I can cure the people and then we can get them out and then the engineer can make', 'start_offset': 119}, {'arguments': {'first': [{'attachments': [{'value': 'future'}], 'end_offset': 32, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'suggest', 'start_offset': 25}], 'second': [{'attachments': [], 'end_offset': 54, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'know', 'start_offset': 50}]}, 'attachments': [{'value': 'future'}], 'end_offset': 54, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'suggest and then once we know', 'start_offset': 25}, {'arguments': {'first': [{'arguments': {'target': [{'attachments': [], 'end_offset': 127, 'labels': ['Entity', 'Concept'], 'rule': 'them_token_capture', 'span': 'it', 'start_offset': 125}]}, 'attachments': [], 'end_offset': 127, 'labels': ['MoveTo', 'Move', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'move_entity_action', 'span': 'go to it', 'start_offset': 119}], 'second': [{'arguments': {'topic': [{'attachments': [], 'end_offset': 146, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'cure', 'start_offset': 142}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [28], 'text': 'I'}], 'end_offset': 146, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can cure', 'start_offset': 138}]}, 'attachments': [], 'end_offset': 146, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'go to it so then I can cure', 'start_offset': 119}, {'attachments': [], 'end_offset': 166, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence2', 'span': 'then', 'start_offset': 162}, {'attachments': [], 'end_offset': 195, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence2', 'span': 'then', 'start_offset': 191}, {'attachments': [], 'end_offset': 41, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence2', 'span': 'then', 'start_offset': 37}, {'arguments': {'room': [{'attachments': [], 'end_offset': 65, 'labels': ['Room', 'Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'room_detection', 'span': 'rooms', 'start_offset': 60}], 'threat': [{'attachments': [], 'end_offset': 83, 'labels': ['Threat', 'ThreatSign', 'Map', 'Tool', 'Item', 'Concept'], 'rule': 'threat_sign_token_unspecified', 'span': 'threats', 'start_offset': 76}]}, 'attachments': [], 'end_offset': 83, 'labels': ['ReportThreatRoom', 'RoomStatus', 'ReportStatus', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'threatroom_report2', 'span': 'rooms have like threats', 'start_offset': 60}, {'arguments': {'topic': [{'arguments': {'first': [{'attachments': [{'value': 'future'}], 'end_offset': 32, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'suggest', 'start_offset': 25}], 'second': [{'attachments': [], 'end_offset': 54, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'know', 'start_offset': 50}]}, 'attachments': [{'value': 'future'}], 'end_offset': 54, 'labels': ['Precedence', 'ComplexAction', 'Action', 'EventLike', 'Concept'], 'rule': 'precedence1', 'span': 'suggest and then once we know', 'start_offset': 25}]}, 'attachments': [{'agentType': 'Engineer', 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'span': [1], 'text': 'engineer'}, {'value': 'future'}], 'end_offset': 54, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will just suggest and then once we know', 'start_offset': 15}, {'arguments': {'topic': [{'attachments': [{'value': 'future'}], 'end_offset': 32, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'suggest', 'start_offset': 25}]}, 'attachments': [{'agentType': 'Engineer', 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'span': [1], 'text': 'engineer'}, {'value': 'future'}], 'end_offset': 32, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will just suggest', 'start_offset': 15}, {'arguments': {'topic': [{'attachments': [{'value': 'future'}], 'end_offset': 118, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'like', 'start_offset': 114}]}, 'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [19], 'text': 'we'}, {'value': 'future'}], 'end_offset': 118, 'labels': ['DeliberatePlan', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something_plan-type', 'span': 'will all like', 'start_offset': 106}, {'attachments': [], 'end_offset': 208, 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'rule': 'engineer', 'span': 'engineer', 'start_offset': 200}, {'attachments': [], 'end_offset': 14, 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'rule': 'engineer', 'span': 'engineer', 'start_offset': 6}, {'attachments': [], 'end_offset': 255, 'labels': ['Infrastructure', 'Location', 'EventLike', 'Concept'], 'rule': 'infrastructure_detection', 'span': 'door', 'start_offset': 251}, {'arguments': {'topic': [{'attachments': [], 'end_offset': 146, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'cure', 'start_offset': 142}]}, 'attachments': [{'agentType': 'Self', 'labels': ['Self', 'Entity', 'Concept'], 'span': [28], 'text': 'I'}], 'end_offset': 146, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can cure', 'start_offset': 138}, {'arguments': {'topic': [{'attachments': [], 'end_offset': 217, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'make', 'start_offset': 213}]}, 'attachments': [{'agentType': 'Engineer', 'labels': ['Engineer', 'Role', 'Entity', 'Concept'], 'span': [43], 'text': 'engineer'}], 'end_offset': 217, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can make', 'start_offset': 209}, {'arguments': {'topic': [{'attachments': [], 'end_offset': 177, 'labels': ['GenericAction', 'Action', 'EventLike', 'Concept'], 'rule': 'genericAction', 'span': 'get', 'start_offset': 174}]}, 'attachments': [{'agentType': 'Team', 'labels': ['Team', 'Entity', 'Concept'], 'span': [35], 'text': 'we'}], 'end_offset': 177, 'labels': ['MakeCommitment', 'Commitment', 'Plan', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'commit_to_something', 'span': 'can get', 'start_offset': 170}]"
all right,"[{'attachments': [], 'end_offset': 10, 'labels': ['Agreement', 'Communicate', 'SimpleAction', 'Action', 'EventLike', 'Concept'], 'rule': 'agreement3', 'span': 'all right', 'start_offset': 1}]"
