utt,labels,tokenized
sweetheart logging back in,['0'],[0]
yep that's the back at work this time,['0'],[0]
yeah I just like starting at the left side Maybe,['0'],[0]
yeah I bet it probably got B probably just telling you know or eggs yeah I'm the medic on it would probably be best to do it in some kind of predetermined way so we all know,['Medic'],[6]
yeah hmm yes I guess have transporter was to go ahead and scout out but rooms have people in it that I can die on you if engineer wants to go and figure out which room is have Rubble in it and I'll just kind of follow along and do whatever room cure whatever room for whatever as I can,"['Plan', 'Plan', 'Engineer', 'Plan', 'Rubble', 'Transporter', 'YesNoQuestion']","[20, 20, 4, 20, 7, 5, 18]"
yeah,['0'],[0]
and I'll label all the people or whatever that B2 B Prince hoarded,"['Room', 'Plan']","[3, 20]"
and then so I guess and then C so,"['Precedence', 'Precedence', 'Precedence']","[11, 11, 11]"
yeah engineer will just suggest and then once we know what rooms have like threats in them or whatever we'll all like go to it so then I can cure the people and then we can get them out and then the engineer can make sure that the stuff can be clear door whatever,"['Plan', 'Move', 'Precedence', 'Precedence', 'Precedence', 'Precedence', 'Precedence', 'Precedence', 'Plan', 'Plan', 'Plan', 'Engineer', 'Engineer', 'Plan', 'Plan', 'Plan']","[20, 10, 11, 11, 11, 11, 11, 11, 20, 20, 20, 4, 4, 20, 20, 20]"
all right,['0'],[0]
so okay we're Salon left side right yeah,['0'],[0]
if a security officer threat or,['0'],[0]
okay,['0'],[0]
okay can you make sure you mark it,['YesNoQuestion'],[18]
okay,['0'],[0]
okay I need one other person to help me cure and A2 the critical person okay I guess I got the medic,"['Room', 'CriticalVictim', 'Instruction', 'Medic', 'Victim']","[3, 1, 19, 6, 2]"
can you transport that at C,['YesNoQuestion'],[18]
there's two and A2 or an A to severe A1 so I'll take one,"['Room', 'Room', 'Plan', 'KnowledgeSharing']","[3, 3, 20, 13]"
all right um so I guess this is medic F3 as for if you want to get that last person in A1 and then engineer all come down to,"['Room', 'Engineer', 'Room', 'Medic', 'Precedence', 'ReportLocation', 'RescueInteractions', 'Victim']","[3, 4, 3, 6, 11, 14, 12, 2]"
yeah A4 and so all I just need you that are you in A4 already okay so I'll just I'll need to next to me so I can hear the critical,"['Room', 'Room', 'CriticalVictim', 'Plan', 'Plan']","[3, 3, 1, 20, 20]"
I'll try this one first,['Plan'],[20]
hey,['0'],[0]
and then this one,['Precedence'],[11]
okay do you want to take since you're slower C is closer so you want to take the C1 I'll take the A1,"['Room', 'Room', 'Plan', 'YesNoQuestion']","[3, 3, 20, 18]"
okay,['0'],[0]
and then you can get us out oh I could do your thing to the transporter here person so that because I faster,"['Plan', 'Precedence', 'Transporter', 'Victim']","[20, 11, 5, 2]"
right,['0'],[0]
yeah,['0'],[0]
yeah,['0'],[0]
oh shoot that's the wrong one,['0'],[0]
right I yeah go yeah if you want to try,['Plan'],[20]
C4 I got those people in there,['Room'],[3]
okay I will get there as quick as I can,['Plan'],[20]
all right this is medic we meet back at the place where there's a bunch of tub what was that C4 where those bunch of people,"['Room', 'Medic']","[3, 6]"
okay,['0'],[0]
the transport you want to take this person and then engineer do what I,"['Engineer', 'Precedence', 'Transporter', 'Victim']","[4, 11, 5, 2]"
this is back door die come to the room Green in there I don't even go there a c C2 this room has a critical,"['Room', 'CriticalVictim', 'KnowledgeSharing', 'Move', 'Move']","[3, 1, 13, 10, 10]"
and I blocked,['0'],[0]
pass is wrong room open I'm sorry,['0'],[0]
sorry about that that was C3 there back here,['Room'],[3]
yeah you broke this,['0'],[0]
I'm here this one,['0'],[0]
and then,['Precedence'],[11]
I guess I got to take that all I'll say I'll take the this one is type B so I'll take it since it's closer,"['Plan', 'Plan', 'Plan', 'Victim']","[20, 20, 20, 2]"
die when I think I'd no one in there,['Victim'],[2]
engineer we need you at C3 or C2,"['Room', 'Room', 'Engineer']","[3, 3, 4]"
okay everybody out of there correct,['0'],[0]
all right okay let's go down to is that b a door up to the top,"['Instruction', 'Move']","[19, 10]"
just B tool it has two people and I can't C though it's covered up by the okay and it has the hazard okay,['0'],[0]
so the safe one is type A,['Victim'],[2]
I can't really put a marker down because it's not a space type Ace the farthest away so if transport if you want to take that one,"['MarkerBlock', 'Transporter']","[8, 5]"
we're at B8 okay I just saw you pass by here and there there's a critical C1 and I'm sorry in A1 that one of those an a,"['Room', 'Room', 'Room', 'CriticalVictim', 'KnowledgeSharing']","[3, 3, 3, 1, 13]"
I was right and C that there's a stone a closer to that,['0'],[0]
okay the C down here is covering gravel I'm just going to go to the the South C,['Rubble'],[7]
yeah I'm just going to go to the North Sea,['0'],[0]
are they both covered,['0'],[0]
okay both c yeah both seas are covered,['0'],[0]
all right we should probably all meet back and start working on like the middle section,['0'],[0]
yeah don't go Scout ahead I need to drop off this victim and then this is the medic engineer can you broke in through this gravel or here thank you,"['Victim', 'YesNoQuestion', 'Engineer', 'Medic', 'Move', 'Precedence', 'Precedence', 'Rubble']","[2, 18, 4, 6, 10, 11, 11, 7]"
okay,['0'],[0]
so all right C E5 and D2 just go check out D2 really good,"['Room', 'Room', 'Room', 'Search']","[3, 3, 3, 15]"
there are two victims in in where they found that says in D1 type,"['Room', 'KnowledgeSharing', 'Victim']","[3, 13, 2]"
B and type A,['Victim'],[2]
I'll be right there I was just,['Move'],[10]
I registered a critical position is are you by E3,"['CriticalVictim', 'Room']","[1, 3]"
okay,['0'],[0]
and then do we need any clear any Rubble or roast E3 okay,"['Room', 'Precedence', 'Rubble', 'YesNoQuestion']","[3, 11, 7, 18]"
okay,['0'],[0]
C,['0'],[0]
yeah,['0'],[0]
and I C oh,['0'],[0]
I can transport you want to take that safe one back that's already out here,['Plan'],[20]
engineer can you help me broke through this C Zone the north won,"['Engineer', 'Instruction', 'HelpRequest', 'YesNoQuestion']","[4, 19, 16, 18]"
so should we move on to the right side then,"['Precedence', 'YesNoQuestion']","[11, 18]"
mmm because it looks like a lot of these are pretty close,['Search'],[15]
I took the critical but the one with the other critical inside B where a nice Sunset E5,"['CriticalVictim', 'Room']","[1, 3]"
this is the medic transporter where are you,"['Question', 'Medic', 'Transporter']","[17, 6, 5]"
okay K2 icon down is help Scout all these rooms,['Room'],[3]
and here it looks like you're in one of the hazard ones or whatever,['Search'],[15]
critical in door window K2 want to break the in,['Room'],[3]
enter normal ones have type B so,"['Move', 'KnowledgeSharing', 'Victim', 'Victim']","[10, 13, 2, 2]"
I put it outside,['0'],[0]
okay okay yeah I'm going to take the B and then transport it to you want to scout out somewhere,"['Plan', 'Precedence']","[20, 11]"
let's move over to the else the blue ones Alan them and also those caves and then engineer our this is medic going to come over today okay,"['Engineer', 'Instruction', 'Medic', 'Precedence']","[4, 19, 6, 11]"
I think he is engineer I need you in L1,"['Engineer', 'Room']","[4, 3]"
pass up the wrong thing shoot,['0'],[0]
this is a type B,['Victim'],[2]
this is an A and the other one of those a type B,['Victim'],[2]
okay,['0'],[0]
pass it there is it looks like okay engineer do not break me into where you are right now and then,"['Engineer', 'Instruction', 'Precedence', 'Search']","[4, 19, 11, 15]"
transport you to want to come because there's a critical condition one you might want to pick up an a normal,"['CriticalVictim', 'Transporter']","[1, 5]"
that's critical and then this one is a,['Precedence'],[11]
I'll take this type A,"['Plan', 'Victim']","[20, 2]"
and then you can take the critical one,"['CriticalVictim', 'Plan', 'Precedence']","[1, 20, 11]"
enter,"['Move', 'Instruction']","[10, 19]"
okay,['0'],[0]
I'm gonna die this last one engineer I need your help and this and K4,"['Engineer', 'HelpRequest', 'Room']","[4, 16, 3]"
and then transport open icon here to all right right here just this one block that works,['Precedence'],[11]
okay that's on the type A,['Victim'],[2]
and then,['Precedence'],[11]
I was like 3 seconds away oh I died,['0'],[0]
this is the medic I'm finished the survey,['Medic'],[6]
systematic I'm back,['0'],[0]
